Unnamed: 0,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
75,0.0,107.0,2,2,1.0,3.0,610.0,0,0,2,2.0,2.0,0.32
76,0.0,4.0,1,1,2.0,3.0,750.0,0,0,1,1.0,2.0,0.45
77,1.0,63.0,4,4,2.0,0.0,1449.0,1,0,2,1.0,1.0,2.99
79,0.0,11.0,3,4,4.0,3.0,1797.0,1,0,1,1.0,2.0,1.5
80,1.0,49.0,3,3,3.0,1.0,1400.0,1,0,2,1.0,2.0,2.65
81,1.0,34.0,7,2,0.0,0.0,1980.0,0,0,1,1.0,1.0,1.5
82,0.0,98.0,3,3,1.0,3.0,1719.0,0,0,1,1.0,0.0,1.5
83,0.0,54.0,4,4,4.0,0.0,3831.0,1,1,2,2.0,2.0,9.3
84,0.0,95.0,2,2,3.0,3.0,1630.0,0,0,1,1.0,2.0,1.19
85,0.0,9.0,3,2,2.0,3.0,850.0,0,0,1,1.0,2.0,0.5
86,0.0,6.0,3,2,2.0,4.0,1120.0,0,0,1,1.0,2.0,1.4
87,0.0,99.0,2,2,3.0,3.0,1611.0,0,0,1,2.0,2.0,1.0
88,0.0,111.0,3,3,4.0,3.0,1509.0,0,0,1,1.0,2.0,1.3
89,0.0,97.0,3,3,2.0,3.0,1402.0,0,0,1,2.0,0.0,0.9
90,1.0,7.0,2,2,0.0,0.0,100.0,0,0,1,1.0,1.0,0.5
91,0.0,95.0,3,3,2.0,3.0,1350.0,1,1,2,0.0,2.0,1.15
92,0.0,78.0,3,3,2.0,3.0,1428.0,0,0,2,1.0,0.0,1.36
94,0.0,4.0,2,2,3.0,3.0,1286.0,0,0,1,2.0,1.0,1.4
95,1.0,62.0,4,4,0.0,2.0,1500.0,0,0,1,1.0,1.0,2.8
96,1.0,57.0,5,7,4.0,0.0,3240.0,1,0,2,0.0,2.0,10.45
97,0.0,96.0,2,2,1.0,3.0,537.0,0,1,2,2.0,1.0,0.34
98,0.0,96.0,2,2,0.0,3.0,549.0,0,0,1,1.0,2.0,0.39
99,1.0,47.0,3,4,1.0,0.0,990.0,0,0,1,1.0,1.0,1.1
100,0.0,111.0,2,2,2.0,1.0,521.0,0,0,1,1.0,0.0,0.35
101,0.0,104.0,4,3,4.0,3.0,2107.0,1,1,1,2.0,2.0,1.75
102,0.0,55.0,3,3,3.0,0.0,1604.25,0,0,2,2.0,2.0,2.1
103,0.0,54.0,3,3,4.0,3.0,2395.0,0,0,2,0.0,2.0,3.65
104,0.0,111.0,2,2,4.0,1.0,1175.97,0,0,1,2.0,2.0,0.95
105,0.0,78.0,3,3,1.0,3.0,1419.0,0,0,2,2.0,0.0,1.29
106,1.0,86.0,2,2,2.0,1.0,745.0,0,0,1,1.0,0.0,0.75
107,0.0,94.0,3,3,4.0,3.0,1668.0,0,0,2,1.0,1.0,1.85
108,0.0,88.0,2,2,2.0,0.0,1224.0,0,0,1,1.0,2.0,0.7
109,0.0,107.0,2,2,1.0,3.0,610.0,0,0,2,2.0,2.0,0.32
110,0.0,2.0,3,3,2.0,0.0,2556.0,0,0,1,1.0,1.0,0.85
111,0.0,106.0,4,4,3.0,3.0,2105.0,0,0,1,1.0,0.0,1.25
112,0.0,79.0,2,2,1.0,3.0,1000.0,0,0,1,2.0,2.0,0.54
113,0.0,82.0,2,2,2.0,3.0,1084.0,0,0,1,1.0,2.0,0.79
114,1.0,30.0,5,5,4.0,0.0,9500.0,1,0,0,1.0,2.0,10.0
116,0.0,63.0,3,3,4.0,0.0,2251.0,1,0,2,2.0,2.0,1.71
117,0.0,14.0,3,3,3.0,3.0,1550.0,0,0,2,2.0,2.0,1.4
118,0.0,75.0,3,4,4.0,3.0,2490.0,1,0,2,2.0,0.0,3.65
120,0.0,9.0,3,2,2.0,3.0,750.0,0,0,1,2.0,2.0,0.6
121,0.0,78.0,3,3,2.0,3.0,1381.0,0,0,1,0.0,1.0,1.44
122,0.0,17.0,4,4,4.0,4.0,2060.0,0,0,1,2.0,0.0,2.37
123,0.0,6.0,1,2,2.0,1.0,334.0,0,0,1,2.0,2.0,0.2
124,0.0,39.0,2,2,4.0,4.0,1539.0,0,0,1,2.0,1.0,1.5
125,0.0,17.0,2,2,0.0,1.0,1310.0,0,0,1,2.0,2.0,1.83
126,1.0,47.0,3,3,2.0,2.0,2250.0,0,0,1,1.0,1.0,3.2
128,0.0,99.0,3,2,2.0,4.0,663.0,0,0,1,1.0,1.0,0.5
129,0.0,49.0,4,4,3.0,2.0,2900.0,0,0,1,1.0,1.0,3.4
130,0.0,4.0,4,4,4.0,3.0,4630.0,0,0,2,2.0,0.0,4.55
131,0.0,55.0,3,3,2.0,2.0,2444.0,0,0,2,2.0,1.0,1.72
132,0.0,69.0,3,3,2.0,4.0,1778.0,0,0,1,1.0,1.0,2.2
133,0.0,93.0,2,2,4.0,3.0,1026.0,0,0,1,2.0,1.0,0.63
134,0.0,43.0,3,3,4.0,3.0,1890.0,1,0,1,2.0,2.0,1.4
135,0.0,80.0,3,3,2.0,4.0,1457.0,0,0,1,1.0,1.0,1.13
136,1.0,6.0,3,5,4.0,0.0,920.0,0,0,1,2.0,1.0,1.95
137,0.0,80.0,3,5,0.0,3.0,1950.0,0,0,1,1.0,1.0,1.75
138,0.0,5.0,4,4,3.0,3.0,2602.0,1,1,1,1.0,0.0,2.45
139,1.0,93.0,3,3,4.0,1.0,2160.0,1,0,1,1.0,2.0,4.7
140,1.0,33.0,2,2,0.0,2.0,864.0,0,0,1,1.0,1.0,0.7
141,0.0,101.0,3,3,2.0,1.0,1179.0,0,0,1,1.0,1.0,1.3
142,1.0,11.0,4,4,4.0,1.0,5400.0,1,0,2,0.0,1.0,6.5
143,0.0,44.0,2,2,3.0,1.0,543.0,0,0,1,2.0,2.0,0.55
144,0.0,111.0,3,2,2.0,4.0,1014.0,0,0,1,2.0,1.0,0.9
145,0.0,9.0,2,2,3.0,3.0,1281.0,0,0,1,1.0,1.0,1.15
146,0.0,74.0,3,4,3.0,3.0,2150.0,1,0,1,2.0,2.0,3.5
147,0.0,103.0,4,4,4.0,3.0,2000.0,0,0,1,2.0,2.0,1.78
148,0.0,50.0,3,2,3.0,2.0,1674.0,0,0,1,1.0,2.0,2.5
149,1.0,45.0,6,6,4.0,0.0,1836.0,1,0,1,1.0,2.0,3.9
150,1.0,34.0,2,2,1.0,0.0,810.0,0,0,1,1.0,1.0,0.55
151,0.0,44.0,4,4,3.0,3.0,2091.0,0,0,2,2.0,0.0,1.67
152,0.0,103.0,2,2,3.0,3.0,1050.0,0,0,1,2.0,2.0,0.65
153,0.0,73.0,3,4,3.0,3.0,2803.0,1,0,1,1.0,2.0,5.5
154,0.0,103.0,4,4,4.0,3.0,2005.0,0,0,2,1.0,2.0,2.05
155,1.0,58.0,6,3,4.0,3.0,900.0,0,0,1,2.0,2.0,2.25
156,1.0,39.0,5,6,3.0,1.0,4125.0,1,0,1,2.0,2.0,11.0
157,0.0,4.0,2,2,3.0,3.0,1238.0,0,0,1,1.0,1.0,1.41
158,0.0,89.0,3,3,0.0,3.0,1815.0,0,0,1,1.0,0.0,1.65
159,0.0,95.0,2,2,3.0,3.0,1300.0,0,0,2,2.0,2.0,0.98
160,0.0,20.0,3,4,4.0,2.0,1956.0,0,0,1,1.0,2.0,2.2
161,0.0,98.0,3,3,1.0,3.0,1550.0,0,0,1,0.0,0.0,1.5
162,1.0,5.0,4,4,4.0,3.0,3222.0,1,1,1,2.0,1.0,4.35
163,0.0,78.0,3,3,1.0,3.0,1419.0,0,0,1,2.0,0.0,1.3
164,0.0,82.0,3,4,3.0,0.0,1631.0,1,0,1,1.0,2.0,1.1
165,0.0,94.0,3,3,4.0,3.0,1668.0,0,0,0,0.0,2.0,1.59
166,0.0,99.0,3,3,3.0,1.0,1652.0,0,0,1,2.0,0.0,1.65
167,0.0,92.0,3,3,4.0,3.0,1750.0,1,0,0,1.0,0.0,2.28
168,0.0,103.0,4,4,4.0,3.0,2139.0,1,0,1,2.0,2.0,1.6
169,0.0,103.0,3,3,4.0,3.0,1581.0,0,0,1,2.0,0.0,1.21
